sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 14, 2024 18:22:40

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
led_blink:led_blink  	     42(42)	     23(23)	       7(7)	     0(0)	     0(0)	
